pair1,pair2
心電圖,Heart failure
Na (Blood),Chronic kidney disease
電腦斷層造影-有/無造影劑,Ascites
K (Capillary),Other cardiac arrhythmias
大腸鏡檢查,Malignant neoplasm of colon
腦波檢查，EEG，睡眠,Epilepsy
磁振造影–有＋無造影劑,Malignant neoplasm of bronchus and lung
上消化道泛內視鏡檢查（胃鏡）,Malignant neoplasm of oesophagus
TSH,Unspecified dementia
CA-199,Malignant neoplasm of colon
Ammonia,Fibrosis and cirrhosis of liver
Albumin (Blood),Fibrosis and cirrhosis of liver
Liver Function Tests,Unspecified viral hepatitis
WBC,Epilepsy
上消化道泛內視鏡檢查（胃鏡）,Iron deficiency anaemia
Blood gas (Capillary),Chronic kidney disease
其他超音波 Echo for others,Retention of urine
WBC,Decubitus ulcer and pressure area
上消化道泛內視鏡檢查（胃鏡）,Ascites
Albumin (Blood),Type 2 diabetes mellitus
Triglyceride(Ascites),Acute renal failure
Ht,Fibrosis and cirrhosis of liver
腦波檢查，EEG，睡眠,Schizophrenia
ALK-P,Unspecified viral hepatitis
Na (Blood),Cellulitis
大腸鏡檢查,Ascites
Cystoscopy,Gastro-oesophageal reflux disease
WBC,Hemorrhoids and perianal venous thrombosis
TSH,Malignant neoplasm of breast
上消化道泛內視鏡檢查（胃鏡）,Other diseases of liver
Triglyceride(Ascites),Unspecified dementia
大腸鏡檢查,Acute myocardial infarction
電腦斷層造影-有/無造影劑,Iron deficiency anaemia
TSH,Malignant neoplasm of oesophagus
Angiogram,Inguinal hernia
HDL Cholesterol,Peptic ulcer - site unspecified
Angiogram,Candidiasis
CEA(Pleural effusion),Type 2 diabetes mellitus
Liver Function Tests,Hyperplasia of prostate
Barium,Essential (primary) hypertension
磁振造影–有＋無造影劑,Generalized anxiety disorder
電腦斷層造影-有/無造影劑,Candidiasis
Plain x-ray,Malignant neoplasm of bladder
Manual pelvic examination (procedure),Unspecified viral hepatitis
Biopsy,Intracranial injury
Urine tests kit,Generalized anxiety disorder
Liver Function Tests,Intracranial injury
Mg(Blood),Hemorrhoids and perianal venous thrombosis
其他超音波 Echo for others,Schizophrenia
上消化道泛內視鏡檢查（胃鏡）,Inguinal hernia
心電圖,Irregular heart beat
Na (Blood),Edema
電腦斷層造影-有/無造影劑,Unconscious State
K (Capillary),Weakness
大腸鏡檢查,Weight decreased
腦波檢查，EEG，睡眠,Seizures
磁振造影–有＋無造影劑,Thrombosis
上消化道泛內視鏡檢查（胃鏡）,Abdominal Pain
心電圖,Chest Pain
WBC,Fever
Plain x-ray,Fracture
Albumin (Blood),Edema
Plain x-ray,Back Pain
電腦斷層造影-有/無造影劑,Back Pain
Creatinine (Blood),Chest Pain
Plain x-ray,Cellulitis
HDL Cholesterol,Irregular heart beat
心電圖,Coughing
Na (Blood),Unconscious State
Uric Acid(Blood),Edema
血液細菌培養,Fatigue
Albumin (Blood),Unexplained weight loss
TSH,Stress
血液細菌培養,Diarrhea
Total Ca(Blood),Fracture
Mg(Blood),Fear
Liver Function Tests,Headache
WBC,Schizophrenia
Liver Function Tests,Fever
TSH,Infection
電腦斷層造影-有/無造影劑,Irregular heart beat
HbA1c,Dizziness
電腦斷層造影-有/無造影劑,Depressed mood
Total Ca(Blood),Tachycardia
腦波檢查，EEG，睡眠,Dizziness
大腸鏡檢查,Worried
心電圖,Weight decreased
上消化道泛內視鏡檢查（胃鏡）,Schizophrenia
Mg(Blood),Allergic Reaction
Ht,Anxiety
HDL Cholesterol,Fever
Cholesterol,Stress
Lactate(Blood),Fear
Urine tests kit,Depressed mood
Ammonia,Pain
Platelet,Back Pain
笨重氮基鹽類 (定性快篩),Chills
腦波檢查，EEG，睡眠,Diarrhea
上消化道泛內視鏡檢查（胃鏡）,Headache
CA-199,Muscle Cramp
